Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Coasting,316,158,67.7126,-0.12663,0,13.0148,-13.0148
Coasting,317,158.5,67.6494,-0.126505,0,13.0019,-13.0019
Coasting,318,159,67.5862,-0.126379,0,12.989,-12.989
Coasting,319,159.5,67.523,-0.126254,0,12.9761,-12.9761
Coasting,320,160,67.46,-0.126129,0,12.9632,-12.9632
Coasting,321,160.5,67.397,-0.126004,0,12.9504,-12.9504
Coasting,322,161,67.334,-0.125879,0,12.9376,-12.9376
Coasting,323,161.5,67.2712,-0.125755,0,12.9248,-12.9248
Coasting,324,162,67.2083,-0.125631,0,12.912,-12.912
Coasting,325,162.5,67.1456,-0.125507,0,12.8993,-12.8993
Coasting,326,163,67.0829,-0.125383,0,12.8866,-12.8866
Coasting,327,163.5,67.0203,-0.125259,0,12.8739,-12.8739
Coasting,328,164,66.9577,-0.125136,0,12.8612,-12.8612
Coasting,329,164.5,66.8952,-0.125013,0,12.8485,-12.8485
Coasting,330,165,66.8328,-0.12489,0,12.8359,-12.8359
Coasting,331,165.5,66.7704,-0.124767,0,12.8233,-12.8233
Coasting,332,166,66.708,-0.124644,0,12.8107,-12.8107
Coasting,333,166.5,66.6458,-0.124522,0,12.7981,-12.7981
Coasting,334,167,66.5836,-0.1244,0,12.7855,-12.7855
Coasting,335,167.5,66.5214,-0.124278,0,12.773,-12.773
Coasting,336,168,66.4594,-0.124156,0,12.7605,-12.7605
Coasting,337,168.5,66.3974,-0.124034,0,12.748,-12.748
Coasting,338,169,66.3354,-0.123913,0,12.7355,-12.7355
Coasting,339,169.5,66.2735,-0.123792,0,12.7231,-12.7231
Coasting,340,170,66.2117,-0.123671,0,12.7106,-12.7106
Coasting,341,170.5,66.1499,-0.12355,0,12.6982,-12.6982
Coasting,342,171,66.0882,-0.12343,0,12.6858,-12.6858
Coasting,343,171.5,66.0265,-0.123309,0,12.6735,-12.6735
Coasting,344,172,65.9649,-0.123189,0,12.6611,-12.6611
Coasting,345,172.5,65.9034,-0.123069,0,12.6488,-12.6488
Coasting,346,173,65.8419,-0.122949,0,12.6365,-12.6365
Coasting,347,173.5,65.7805,-0.12283,0,12.6242,-12.6242
Coasting,348,174,65.7191,-0.122711,0,12.6119,-12.6119
Coasting,349,174.5,65.6579,-0.122591,0,12.5997,-12.5997
Coasting,350,175,65.5966,-0.122472,0,12.5874,-12.5874
Coasting,351,175.5,65.5354,-0.122354,0,12.5752,-12.5752
Coasting,352,176,65.4743,-0.122235,0,12.563,-12.563
Coasting,353,176.5,65.4133,-0.122117,0,12.5509,-12.5509
Coasting,354,177,65.3523,-0.121999,0,12.5387,-12.5387
Coasting,355,177.5,65.2913,-0.121881,0,12.5266,-12.5266
Coasting,356,178,65.2304,-0.121763,0,12.5145,-12.5145
Coasting,357,178.5,65.1696,-0.121645,0,12.5024,-12.5024
Coasting,358,179,65.1089,-0.121528,0,12.4904,-12.4904
Coasting,359,179.5,65.0481,-0.121411,0,12.4783,-12.4783
Coasting,360,180,64.9875,-0.121294,0,12.4663,-12.4663
Accelerating,361,180.5,65.2305,0.486053,62.4097,12.4543,49.9554
Accelerating,362,181,65.4711,0.481184,61.9575,12.5024,49.455
Accelerating,363,181.5,65.7093,0.476296,61.5029,12.5502,48.9527
Accelerating,364,182,65.945,0.471505,61.0579,12.5977,48.4602
Accelerating,365,182.5,66.1784,0.466807,60.6221,12.6448,47.9774
Accelerating,366,183,66.4095,0.462199,60.1953,12.6915,47.5037
Accelerating,367,183.5,66.6384,0.457678,59.7771,12.738,47.0391
Accelerating,368,184,66.865,0.453242,59.3672,12.784,46.5832
Accelerating,369,184.5,67.0894,0.448888,58.9655,12.8298,46.1357
Accelerating,370,185,67.3117,0.444614,58.5716,12.8752,45.6964
Accelerating,371,185.5,67.5319,0.440417,58.1854,12.9203,45.2651
Accelerating,372,186,67.7501,0.436295,57.8065,12.965,44.8415
Accelerating,373,186.5,67.9662,0.432247,57.4349,13.0095,44.4254
Accelerating,374,187,68.1803,0.428269,57.0702,13.0537,44.0165
Accelerating,375,187.5,68.3925,0.42436,56.7123,13.0975,43.6147
Accelerating,376,188,68.6028,0.420517,56.3609,13.1411,43.2198
Accelerating,377,188.5,68.8112,0.41674,56.016,13.1843,42.8316
Accelerating,378,189,69.0177,0.413026,55.6772,13.2273,42.4499
Accelerating,379,189.5,69.2224,0.409374,55.3445,13.27,42.0746
Accelerating,380,190,69.4252,0.405782,55.0177,13.3124,41.7054
