Speed,F Motor,P_vvvf,P_catenary,Catenary current,VVVFcurrent
58.7394,11.3465,1770.08,1800.08,1200.05,1180.05
58.2712,11.2608,1769.86,1799.86,1199.9,1179.9
57.7993,11.1749,1769.63,1799.63,1199.75,1179.75
57.3235,11.0888,1769.39,1799.39,1199.59,1179.59
56.8438,11.0025,1769.14,1799.14,1199.43,1179.43
56.36,10.9161,1768.89,1798.89,1199.26,1179.26
55.8721,10.8294,1768.63,1798.63,1199.09,1179.09
55.3799,10.7425,1768.36,1798.36,1198.91,1178.91
54.8833,10.6553,1768.08,1798.08,1198.72,1178.72
54.3833,10.568,1764.07,1794.07,1196.05,1176.05
53.8833,10.4806,1747.85,1777.85,1185.23,1165.23
53.3833,10.3937,1731.63,1761.63,1174.42,1154.42
52.8833,10.3074,1715.41,1745.41,1163.61,1143.61
52.3833,10.2217,1699.19,1729.19,1152.8,1132.8
51.8833,10.1365,1682.98,1712.98,1141.98,1121.98
51.3833,10.0519,1666.76,1696.76,1131.17,1111.17
50.8833,9.96787,1650.54,1680.54,1120.36,1100.36
50.3833,9.88437,1634.32,1664.32,1109.55,1089.55
49.8833,9.80143,1618.1,1648.1,1098.73,1078.73
49.3833,9.71904,1601.88,1631.88,1087.92,1067.92
48.8833,9.63721,1585.66,1615.66,1077.11,1057.11
48.3833,9.55595,1569.44,1599.44,1066.3,1046.3
47.8833,9.47523,1553.22,1583.22,1055.48,1035.48
47.3833,9.39508,1537.01,1567.01,1044.67,1024.67
46.8833,9.31548,1520.79,1550.79,1033.86,1013.86
46.3833,9.23644,1504.57,1534.57,1023.05,1003.05
45.8833,9.15796,1488.35,1518.35,1012.23,992.233
45.3833,9.08004,1472.13,1502.13,1001.42,981.42
44.8833,9.00267,1455.91,1485.91,990.608,970.608
44.3833,8.92587,1439.69,1469.69,979.795,959.795
43.8833,8.84962,1423.47,1453.47,968.983,948.983
43.3833,8.77392,1407.26,1437.26,958.17,938.17
42.8833,8.69879,1391.04,1421.04,947.358,927.358
42.3833,8.62421,1374.82,1404.82,936.545,916.545
41.8833,8.55019,1358.6,1388.6,925.732,905.732
41.3833,8.47673,1342.38,1372.38,914.92,894.92
40.8833,8.40382,1326.16,1356.16,904.107,884.107
40.3833,8.33148,1309.94,1339.94,893.295,873.295
39.8833,8.25969,1293.72,1323.72,882.482,862.482
39.3833,8.18845,1277.5,1307.5,871.67,851.67
38.8833,8.11778,1261.29,1291.29,860.857,840.857
38.3833,8.04766,1245.07,1275.07,850.044,830.044
37.8833,7.9781,1228.85,1258.85,839.232,819.232
37.3833,7.9091,1212.63,1242.63,828.419,808.419
36.8833,7.84066,1196.41,1226.41,817.607,797.607
36.3833,7.77277,1180.19,1210.19,806.794,786.794
35.8833,7.70544,1163.97,1193.97,795.982,775.982
35.3833,7.63867,1147.75,1177.75,785.169,765.169
34.8833,7.57246,1131.53,1161.53,774.356,754.356
34.3833,7.5068,1115.32,1145.32,763.544,743.544
33.8833,7.4417,1099.1,1129.1,752.731,732.731
33.3833,7.37716,1082.88,1112.88,741.919,721.919
32.8833,7.31318,1066.66,1096.66,731.106,711.106
32.3833,7.24976,1050.44,1080.44,720.293,700.293
31.8833,7.18689,1034.22,1064.22,709.481,689.481
31.3833,7.12458,1018,1048,698.668,678.668
30.8833,7.06283,1001.78,1031.78,687.856,667.856
30.3833,7.00163,985.565,1015.56,677.043,657.043
29.8833,6.94099,969.346,999.346,666.231,646.231
29.3833,6.88091,953.127,983.127,655.418,635.418
28.8833,6.82139,936.908,966.908,644.605,624.605
28.3833,6.76243,920.689,950.689,633.793,613.793
27.8833,6.70402,904.471,934.471,622.98,602.98
27.3833,6.64617,888.252,918.252,612.168,592.168
26.8833,6.58888,872.033,902.033,601.355,581.355
26.3833,6.53215,855.814,885.814,590.543,570.543
25.8833,6.47597,839.595,869.595,579.73,559.73
25.3833,6.42035,823.376,853.376,568.917,548.917
24.8833,6.36529,807.157,837.157,558.105,538.105
24.3833,6.31079,790.938,820.938,547.292,527.292
23.8833,6.25684,774.72,804.72,536.48,516.48
23.3833,6.20345,758.501,788.501,525.667,505.667
22.8833,6.15062,742.282,772.282,514.855,494.855
22.3833,6.09835,726.063,756.063,504.042,484.042
21.8833,6.04664,709.844,739.844,493.229,473.229
21.3833,5.99548,693.625,723.625,482.417,462.417
20.8833,5.94488,677.406,707.406,471.604,451.604
20.3833,5.89484,661.188,691.188,460.792,440.792
19.8833,5.84535,644.969,674.969,449.979,429.979
19.3833,5.79642,628.75,658.75,439.167,419.167
18.8833,5.74805,612.531,642.531,428.354,408.354
18.3833,5.70024,596.312,626.312,417.541,397.541
17.8833,5.65299,580.093,610.093,406.729,386.729
17.3833,5.60629,563.874,593.874,395.916,375.916
16.8833,5.56015,547.656,577.656,385.104,365.104
16.3833,5.51457,531.437,561.437,374.291,354.291
15.8833,5.46955,515.218,545.218,363.479,343.479
15.3833,5.42508,498.999,528.999,352.666,332.666
14.8833,5.38117,482.78,512.78,341.853,321.853
14.3833,5.33782,466.561,496.561,331.041,311.041
13.8833,5.29503,450.342,480.342,320.228,300.228
13.3833,5.25279,434.124,464.124,309.416,289.416
12.8833,5.21111,417.905,447.905,298.603,278.603
12.3833,5.16999,401.686,431.686,287.791,267.791
11.8833,5.12943,385.467,415.467,276.978,256.978
11.3833,5.08942,369.248,399.248,266.165,246.165
10.8833,5.04998,353.029,383.029,255.353,235.353
10.3833,5.01109,336.81,366.81,244.54,224.54
9.88329,4.97275,320.592,350.592,233.728,213.728
9.38329,4.93498,304.373,334.373,222.915,202.915
8.88329,4.89776,288.154,318.154,212.103,192.103
8.38329,4.8611,271.935,301.935,201.29,181.29
7.88329,4.825,255.716,285.716,190.477,170.477
7.38329,4.78946,239.497,269.497,179.665,159.665
6.88329,4.75447,223.278,253.278,168.852,148.852
6.38329,4.72004,207.059,237.059,158.04,138.04
5.88329,4.68617,190.841,220.841,147.227,127.227
5.38329,4.65286,174.622,204.622,136.415,116.415
4.88329,4.6201,158.403,188.403,125.602,105.602
4.38329,4.5879,142.184,172.184,114.789,94.7894
3.88329,4.55626,125.965,155.965,103.977,83.9768
