Phase,Iteration,Time,Total time,Distance,TotalDistance,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,95,0.640978,45.2866,12.8211,597.258,47,0.759708,83.4588,9.17623,74.2825,3.47745,1.52937,11.9624,869.8,1089.6,1111.84,1249.26,1301.31,1331.31,887.538,867.538
Accelerating,96,0.649533,45.9362,12.9606,610.218,47.5,0.749823,82.5709,9.25484,73.3161,3.44045,1.54247,11.8352,879.053,1089.48,1111.71,1249.11,1301.16,1331.16,887.44,867.44
Accelerating,97,0.658148,46.5943,13.1001,623.318,48,0.740124,81.7017,9.33401,72.3677,3.40424,1.55567,11.7106,888.307,1089.36,1111.59,1248.98,1301.02,1331.02,887.344,867.344
Accelerating,98,0.666824,47.2611,13.2396,636.558,48.5,0.730605,80.8507,9.41374,71.4369,3.36878,1.56896,11.5886,897.56,1089.24,1111.47,1248.84,1300.88,1330.88,887.25,867.25
Accelerating,99,0.675562,47.9367,13.379,649.937,49,0.721259,80.0172,9.49402,70.5231,3.33405,1.58234,11.4691,906.813,1089.12,1111.35,1248.71,1300.74,1330.74,887.158,867.158
Accelerating,100,0.684364,48.6211,13.5185,663.455,49.5,0.712082,79.2007,9.57486,69.6258,3.30003,1.59581,11.3521,916.066,1089.01,1111.23,1248.58,1300.6,1330.6,887.068,867.068
Accelerating,101,0.693232,49.3143,13.658,677.114,50,0.703068,78.4007,9.65626,68.7444,3.26669,1.60938,11.2374,925.319,1088.9,1111.12,1248.45,1300.47,1330.47,886.979,866.979
Accelerating,102,0.702166,50.0164,13.7975,690.911,50.5,0.694211,77.6166,9.73822,67.8784,3.23403,1.62304,11.1251,934.573,1088.79,1111.01,1248.33,1300.34,1330.34,886.892,866.892
Accelerating,103,0.711169,50.7276,13.937,704.848,51,0.685508,76.8482,9.82074,67.0274,3.20201,1.63679,11.0149,943.826,1088.68,1110.9,1248.2,1300.21,1330.21,886.807,866.807
Accelerating,104,0.720242,51.4479,14.0765,718.925,51.5,0.676953,76.0948,9.90381,66.1909,3.17061,1.65063,10.9069,953.079,1088.58,1110.79,1248.08,1300.09,1330.09,886.724,866.724
Accelerating,105,0.729386,52.1772,14.2161,733.141,52,0.668542,75.356,9.98744,65.3685,3.13983,1.66457,10.801,962.332,1088.48,1110.69,1247.97,1299.96,1329.96,886.642,866.642
Accelerating,106,0.738604,52.9158,14.3556,747.496,52.5,0.66027,74.6314,10.0716,64.5598,3.10964,1.6786,10.6972,971.585,1088.37,1110.59,1247.85,1299.84,1329.84,886.562,866.562
Accelerating,107,0.747896,53.6637,14.4951,761.991,53,0.652134,73.9206,10.1564,63.7642,3.08003,1.69273,10.5953,980.839,1088.28,1110.49,1247.74,1299.73,1329.73,886.484,866.484
Accelerating,108,0.757266,54.421,14.6346,776.626,53.5,0.64413,73.2233,10.2417,62.9816,3.05097,1.70695,10.4953,990.092,1088.18,1110.39,1247.63,1299.61,1329.61,886.407,866.407
Accelerating,109,0.766713,55.1877,14.7742,791.4,54,0.636253,72.5389,10.3275,62.2114,3.02246,1.72126,10.3972,999.345,1088.08,1110.29,1247.52,1299.5,1329.5,886.331,866.331
Accelerating,110,0.776241,55.964,14.9137,806.314,54.5,0.6285,71.8673,10.414,61.4533,2.99447,1.73566,10.301,1008.6,1087.99,1110.19,1247.41,1299.38,1329.38,886.257,866.257
Accelerating,111,0.785851,56.7498,15.0532,821.367,55,0.620867,71.2079,10.5009,60.707,2.967,1.75015,10.2065,1017.85,1087.9,1110.1,1247.3,1299.28,1329.28,886.184,866.184
Accelerating,112,0.795545,57.5454,15.1928,836.56,55.5,0.613351,70.5606,10.5885,59.9721,2.94002,1.76474,10.1137,1027.1,1087.81,1110.01,1247.2,1299.17,1329.17,886.112,866.112
Accelerating,113,0.805325,58.3507,15.3324,851.892,56,0.605949,69.9249,10.6765,59.2484,2.91354,1.77942,10.0226,1036.36,1087.72,1109.92,1247.1,1299.06,1329.06,886.042,866.042
Accelerating,114,0.815193,59.1659,15.4719,867.364,56.5,0.598657,69.3006,10.7652,58.5354,2.88752,1.7942,9.93308,1045.61,1087.63,1109.83,1247,1298.96,1328.96,885.973,865.973
Accelerating,115,0.825152,59.991,15.6115,882.976,57,0.591473,68.6873,10.8544,57.8329,2.86197,1.80907,9.84518,1054.86,1087.55,1109.74,1246.9,1298.86,1328.86,885.905,865.905
Accelerating,116,0.835202,60.8262,15.7511,898.727,57.5,0.584393,68.0848,10.9442,57.1406,2.83687,1.82403,9.75882,1064.12,1087.47,1109.66,1246.81,1298.76,1328.76,885.838,865.838
Accelerating,117,0.845347,61.6716,15.8906,914.617,58,0.577414,67.4927,11.0345,56.4582,2.8122,1.83908,9.67396,1073.37,1087.38,1109.57,1246.71,1298.66,1328.66,885.773,865.773
Accelerating,118,0.855589,62.5272,16.0302,930.648,58.5,0.570534,66.9109,11.1254,55.7855,2.78795,1.85423,9.59056,1082.62,1087.3,1109.49,1246.62,1298.56,1328.56,885.709,865.709
Accelerating,119,0.86593,63.3931,16.1698,946.817,59,0.56375,66.339,11.2168,55.1222,2.76413,1.86947,9.50859,1091.88,1087.22,1109.41,1246.53,1298.47,1328.47,885.645,865.645
Accelerating,120,0.876372,64.2695,16.3094,963.127,59.5,0.557059,65.7768,11.3088,54.468,2.7407,1.8848,9.42801,1101.13,1087.14,1109.33,1246.44,1298.37,1328.37,885.583,865.583
Accelerating,121,0.886918,65.1564,16.449,979.576,60,0.55046,65.2241,11.4013,53.8227,2.71767,1.90022,9.34878,1110.38,1087.07,1109.25,1246.35,1298.28,1328.28,885.522,865.522
Accelerating,122,0.89757,66.054,16.5886,996.164,60.5,0.543949,64.6805,11.4945,53.1861,2.69502,1.91574,9.27088,1119.64,1086.99,1109.18,1246.27,1298.19,1328.19,885.462,865.462
Accelerating,123,0.908332,66.9623,16.7283,1012.89,61,0.537524,64.146,11.5881,52.5579,2.67275,1.93135,9.19426,1128.89,1086.92,1109.1,1246.18,1298.1,1328.1,885.403,865.403
Accelerating,124,0.919205,67.8815,16.8679,1029.76,61.5,0.531183,63.6202,11.6824,51.9379,2.65084,1.94706,9.1189,1138.14,1086.85,1109.03,1246.1,1298.02,1328.02,885.345,865.345
Accelerating,125,0.930192,68.8117,17.0075,1046.77,62,0.524923,63.103,11.7771,51.3258,2.62929,1.96286,9.04476,1147.4,1086.77,1108.95,1246.01,1297.93,1327.93,885.287,865.287
Accelerating,126,0.941296,69.753,17.1472,1063.92,62.5,0.518744,62.5941,11.8725,50.7216,2.60809,1.97875,8.97182,1156.65,1086.7,1108.88,1245.93,1297.85,1327.85,885.231,865.231
Accelerating,127,0.95252,70.7055,17.2868,1081.2,63,0.512642,62.0933,11.9684,50.1249,2.58722,1.99473,8.90004,1165.9,1086.63,1108.81,1245.85,1297.76,1327.76,885.176,865.176
Accelerating,128,0.963867,71.6694,17.4265,1098.63,63.5,0.506615,61.6005,12.0648,49.5357,2.56669,2.0108,8.82941,1175.16,1086.56,1108.74,1245.77,1297.68,1327.68,885.121,865.121
Accelerating,129,0.97534,72.6447,17.5661,1116.19,64,0.500662,61.1155,12.1618,48.9536,2.54648,2.02697,8.75988,1184.41,1086.5,1108.67,1245.7,1297.6,1327.6,885.068,865.068
Accelerating,130,0.986943,73.6317,17.7058,1133.9,64.5,0.494781,60.638,12.2594,48.3786,2.52658,2.04323,8.69145,1193.66,1086.43,1108.6,1245.62,1297.52,1327.52,885.015,865.015
Accelerating,131,0.998677,74.6303,17.8455,1151.75,65,0.48897,60.1679,12.3575,47.8104,2.507,2.05959,8.62407,1202.92,1086.37,1108.54,1245.55,1297.44,1327.44,884.963,864.963
Accelerating,132,1.01055,75.6409,17.9852,1169.73,65.5,0.483227,59.7051,12.4562,47.2489,2.48771,2.07604,8.55773,1212.17,1086.3,1108.47,1245.47,1297.37,1327.37,884.912,864.912
Accelerating,133,1.02256,76.6634,18.1249,1187.86,66,0.472925,58.7971,12.5555,46.2416,2.44988,2.09258,8.42758,1221.42,1077.95,1099.95,1235.89,1287.39,1317.39,878.259,858.259
Accelerating,134,1.03471,77.6981,18.2646,1206.12,66.5,0.462828,57.9096,12.6553,45.2543,2.4129,2.10921,8.30037,1230.67,1069.72,1091.55,1226.46,1277.56,1307.56,871.708,851.708
Accelerating,135,1.05725,78.7554,18.4037,1224.52,67,0.452929,57.042,12.7556,44.2864,2.37675,2.12594,8.17602,1239.93,1061.62,1083.28,1217.17,1267.89,1297.89,865.257,845.257
Accelerating,136,1.08031,79.8357,18.5441,1243.07,67.5,0.443222,56.1938,12.8565,43.3373,2.34141,2.14276,8.05445,1249.18,1053.63,1075.14,1208.02,1258.35,1288.35,858.902,838.902
