Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Coasting,1837,1,1837,18.39132009865231,28591.117841264822,7324.849904144201,175.03032567081155,0,2000,66.14333448643372,70,18.373148468453834,-0.13110801766628707,-0.03641889379619085,0,12.710193934870606,-12.710193934870606,0,0.529591413952942,0,1224.0742600112278,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1838,1,1838,18.354939021555715,28609.472780286378,7343.204843165757,174.22403005936252,0,2000,66.01249780552905,70,18.33680494598032,-0.13083668090466136,-0.03634352247351704,0,12.683889343257448,-12.683889343257448,0,0.5284953893023937,0,1221.6529455340517,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1839,1,1839,18.318633184743533,28627.79141347112,7361.5234763505005,173.42258335729704,0,2000,65.88193149127511,70,18.300536525354225,-0.13056631425394122,-0.03626842062609478,0,12.65767879850708,-12.65767879850708,0,0.5274032832711283,0,1219.236634567214,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1840,1,1840,18.28240231504115,28646.073815786163,7379.805878665542,172.62595362714774,0,2000,65.75163459041241,70,18.264342941781255,-0.13029690086269854,-0.03619358357297182,0,12.631560666967165,-12.631560666967165,0,0.5263150277902985,0,1216.8253094693239,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1841,1,1841,18.246246149994736,28664.32006193616,7398.052124815536,171.834109245968,0,2000,65.62160616924955,70,18.22822393590268,-0.13002842116286628,-0.036119005878573966,0,12.605533051622315,-12.605533051622315,0,0.5252305438175965,0,1214.4189529611258,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1842,1,1842,18.210164432963364,28682.530226369123,7416.2622892485,171.04701891837658,0,2000,65.49184528014418,70,18.19217924448452,-0.12976088910536873,-0.03604469141815798,0,12.579597304937135,-12.579597304937135,0,0.5241498877057139,0,1212.0175475051817,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1843,1,1843,18.174156898775415,28700.704383267897,7434.436446147275,170.2646514712011,0,2000,65.36235097962086,70,18.156208605450267,-0.12949430052331506,-0.03597063903425418,0,12.55375302295471,-12.55375302295471,0,0.5230730426231129,0,1209.6210756411683,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1844,1,1844,18.138223285933112,28718.84260655383,7452.574669433208,169.4869759624307,0,2000,65.23312233543844,70,18.12031175984404,-0.12922864418241994,-0.03589684560622776,0,12.527999116573488,-12.527999116573488,0,0.521999963190562,0,1207.229520116669,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1845,1,1845,18.1023633370409,28736.944969890872,7470.677032770249,168.71396172161135,0,2000,65.10415841535576,70,18.084488448709962,-0.12896392008268323,-0.035823311134078675,0,12.502335585793459,-12.502335585793459,0,0.5209306494080608,0,1204.8428636792655,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1846,1,1846,18.06657679314289,28755.011546684014,7488.743609563392,167.94557828042772,0,2000,64.97545830253283,70,18.04873841737026,-0.1287001128229288,-0.03575003133970245,0,12.476760937556154,-12.476760937556154,0,0.5198650390648397,0,1202.461089361562,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1847,1,1847,18.03086340170038,28773.042410085716,7506.774472965092,167.18179546264994,0,2000,64.84702107034563,70,18.013061408429373,-0.1284372321871901,-0.03567700894088614,0,12.451276120369263,-12.451276120369263,0,0.5188031716820526,0,1200.0841800150927,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Accelerating,1848,1,1848,17.995222903958897,28791.037632989675,7524.769695869051,166.422583232488,0,2000,66.73483067803477,70,18.537452966120796,1.8878096076891295,0.5243915576914249,195.4385342239893,12.425880589682007,183.0126536343073,8.143272259332887,0.5177450245700836,28.012856572105136,1235.0207184662668,3520.4463185501386,3592.2921617858556,4036.283327849276,4161.116832834305,4161.116832834305,2774.077888556203,2774.077888556203,43.54810668290289,212.14887892311572,0,287.7158903705411,0,0,0,0
Accelerating,1849,1,1849,18.79964874496648,28809.837281734643,7543.569344614018,177.8870086814469,0,2000,68.51079808469152,70,19.03077724574767,1.7759674066567521,0.4933242796268756,184.97303655840506,12.802862968625488,172.17017358977958,7.707209856600211,0.5334526236927287,26.512801906704723,1267.8874616685364,3428.928965201971,3498.9071073489504,3931.356300392079,4052.944639579463,4052.944639579463,2701.963093052975,2701.963093052975,44.52002532383315,213.27469687855447,0,288.8417083259798,0,0,0,0
Accelerating,1850,1,1850,19.27743938556108,28829.114721120204,7562.846783999578,189.28107505656538,0,2000,70.18539322435748,70,19.495942562321552,1.6745951396659648,0.4651653165738791,175.5074616576267,13.164766173342898,162.3426954842838,7.312810902401112,0.5485319238892874,25.156069504259822,1298.878170291269,3340.043407772889,3408.2075589519277,3829.4466954516042,3947.8831911872207,3947.8831911872207,2631.922127458147,2631.922127458147,45.466749645764246,214.37133109832868,0,289.93834254575404,0,0,0,0
Accelerating,1851,1,1851,19.728525220608464,28848.843246340813,7582.575309220187,200.5815685937962,0,2000,71.77104174461245,70,19.936400484614598,1.58564852025497,0.4404579222930472,167.23227323760014,13.51245835732666,153.71981488027347,6.968011384900006,0.5630190982219442,23.96995916405602,1328.2227981988185,3260.3507936067112,3326.8885649048075,3738.0770392188847,3853.6876692978194,3853.6876692978194,2569.125112865213,2569.125112865213,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1852,1,1852,20.156629445761094,28868.999875786576,7602.731938665947,211.946600091503,0,2000,71.62820275181,70,19.896722986613916,-0.14283899280245038,-0.03967749800068066,0,13.84744680223755,-13.84744680223755,0,0.5769769500932312,0,1325.5793642719839,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1853,1,1853,19.87688423761355,28888.876760024188,7622.608822903561,210.8914066534283,0,2000,71.48567740505658,70,19.85713261251575,-0.142525346753411,-0.03959037409816972,0,13.817040560261233,-13.817040560261233,0,0.5757100233442181,0,1322.941734800857,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1854,1,1854,19.837337425466632,28908.714097449654,7642.446160329028,209.84480337965599,0,2000,71.34346455050971,70,19.817629041808285,-0.1422128545468701,-0.039503570707463916,0,13.786746176904908,-13.786746176904908,0,0.5744477573710378,0,1320.30988843198,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1855,1,1855,19.79787725645452,28928.511974706107,7662.244037585483,208.80671567332774,0,2000,71.20156302870974,70,19.778211952419404,-0.14190152179997048,-0.03941708938888069,0,13.75656419671936,-13.75656419671936,0,0.5731901748633067,0,1317.6838037079417,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1856,1,1856,19.75850340772493,28948.27047811383,7682.002540993208,207.77706956494225,0,2000,71.05997171806678,70,19.738881032796357,-0.14159131064296498,-0.03933091962304583,0,13.726490948442995,-13.726490948442995,0,0.5719371228517914,0,1315.0634598721642,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1857,1,1857,19.7192155729848,28967.989693686817,7701.721756566192,206.7557920203251,0,2000,70.91868944933714,70,19.699635958149237,-0.1412822687296342,-0.03924507464712061,0,13.696531051845094,-13.696531051845094,0,0.5706887938268789,0,1312.4488352861688,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
