Phase,Iteration,Time,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_wheel,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,123,61.5,57.1675,0.586161,68.2351,10.9216,57.3135,2.84313,1.82026,9.78036,1057.96,1083.56,1105.68,1242.33,1294.1,1324.1,882.732,862.732
Accelerating,124,62,57.4586,0.582043,67.8853,10.9744,56.9109,2.82855,1.82906,9.73022,1063.35,1083.5,1105.61,1242.26,1294.02,1324.02,882.679,862.679
Accelerating,125,62.5,57.7476,0.577989,67.5414,11.027,56.5144,2.81423,1.83783,9.68094,1068.7,1083.43,1105.54,1242.18,1293.94,1323.94,882.626,862.626
Accelerating,126,63,58.0345,0.573995,67.2034,11.0794,56.124,2.80014,1.84657,9.63249,1074.01,1083.37,1105.48,1242.11,1293.86,1323.86,882.575,862.575
Accelerating,127,63.5,58.3196,0.570062,66.8711,11.1317,55.7394,2.78629,1.85528,9.58485,1079.28,1083.3,1105.41,1242.04,1293.79,1323.79,882.525,862.525
Accelerating,128,64,58.6027,0.566187,66.5442,11.1837,55.3605,2.77268,1.86396,9.53801,1084.52,1083.24,1105.35,1241.96,1293.71,1323.71,882.476,862.476
Accelerating,129,64.5,58.8839,0.562368,66.2228,11.2356,54.9871,2.75928,1.87261,9.49193,1089.73,1083.18,1105.29,1241.9,1293.64,1323.64,882.428,862.428
Accelerating,130,65,59.1632,0.558605,65.9066,11.2874,54.6192,2.74611,1.88123,9.44661,1094.9,1083.12,1105.23,1241.83,1293.57,1323.57,882.38,862.38
Accelerating,131,65.5,59.4406,0.554896,65.5954,11.3389,54.2565,2.73314,1.88982,9.40201,1100.03,1083.06,1105.17,1241.76,1293.5,1323.5,882.334,862.334
Accelerating,132,66,59.7162,0.551239,65.2892,11.3903,53.8989,2.72039,1.89839,9.35813,1105.13,1083.01,1105.11,1241.7,1293.43,1323.43,882.289,862.289
Accelerating,133,66.5,59.99,0.547633,64.9879,11.4415,53.5464,2.70783,1.90692,9.31493,1110.2,1082.95,1105.05,1241.63,1293.37,1323.37,882.245,862.245
Accelerating,134,67,60.2621,0.544077,64.6913,11.4926,53.1987,2.69547,1.91543,9.27242,1115.23,1082.9,1105,1241.57,1293.3,1323.3,882.202,862.202
Accelerating,135,67.5,60.5324,0.54057,64.3992,11.5435,52.8558,2.6833,1.92391,9.23056,1120.24,1082.84,1104.94,1241.51,1293.24,1323.24,882.159,862.159
Accelerating,136,68,60.8009,0.537111,64.1117,11.5942,52.5175,2.67132,1.93237,9.18934,1125.21,1082.79,1104.89,1241.45,1293.18,1323.18,882.117,862.117
Accelerating,137,68.5,61.0678,0.533697,63.8285,11.6448,52.1837,2.65952,1.94079,9.14875,1130.14,1082.74,1104.84,1241.39,1293.11,1323.11,882.076,862.076
Accelerating,138,69,61.3329,0.530329,63.5496,11.6952,51.8544,2.6479,1.94919,9.10878,1135.05,1082.69,1104.79,1241.33,1293.05,1323.05,882.036,862.036
Accelerating,139,69.5,61.5964,0.527006,63.2749,11.7454,51.5295,2.63645,1.95757,9.0694,1139.93,1082.64,1104.74,1241.28,1293,1323,881.997,861.997
Accelerating,140,70,61.8583,0.523725,63.0042,11.7955,51.2087,2.62517,1.96591,9.0306,1144.77,1082.59,1104.69,1241.22,1292.94,1322.94,881.958,861.958
Accelerating,141,70.5,62.1185,0.520487,62.7375,11.8454,50.8921,2.61406,1.97423,8.99237,1149.59,1082.54,1104.64,1241.17,1292.88,1322.88,881.92,861.92
Accelerating,142,71,62.3772,0.51729,62.4746,11.8952,50.5795,2.60311,1.98253,8.9547,1154.38,1082.5,1104.59,1241.11,1292.82,1322.82,881.883,861.883
Accelerating,143,71.5,62.6343,0.514133,62.2156,11.9448,50.2708,2.59232,1.99079,8.91757,1159.13,1082.45,1104.54,1241.06,1292.77,1322.77,881.847,861.847
Accelerating,144,72,62.8898,0.511016,61.9602,11.9942,49.966,2.58168,1.99904,8.88096,1163.86,1082.41,1104.5,1241.01,1292.72,1322.72,881.811,861.811
Accelerating,145,72.5,63.1437,0.507937,61.7085,12.0435,49.665,2.57119,2.00725,8.84488,1168.56,1082.36,1104.45,1240.96,1292.66,1322.66,881.775,861.775
Accelerating,146,73,63.3962,0.504896,61.4603,12.0927,49.3676,2.56085,2.01544,8.80931,1173.23,1082.32,1104.41,1240.91,1292.61,1322.61,881.741,861.741
Accelerating,147,73.5,63.6471,0.501892,61.2156,12.1416,49.0739,2.55065,2.02361,8.77423,1177.88,1082.28,1104.36,1240.86,1292.56,1322.56,881.707,861.707
Accelerating,148,74,63.8966,0.498924,60.9742,12.1905,48.7837,2.54059,2.03175,8.73963,1182.5,1082.23,1104.32,1240.81,1292.51,1322.51,881.673,861.673
Accelerating,149,74.5,64.1446,0.495992,60.7361,12.2392,48.497,2.53067,2.03986,8.70551,1187.08,1082.19,1104.28,1240.76,1292.46,1322.46,881.641,861.641
Accelerating,150,75,64.3911,0.493094,60.5013,12.2877,48.2136,2.52089,2.04795,8.67186,1191.65,1082.15,1104.24,1240.72,1292.41,1322.41,881.608,861.608
Accelerating,151,75.5,64.6362,0.490229,60.2697,12.3361,47.9335,2.51124,2.05602,8.63865,1196.18,1082.11,1104.2,1240.67,1292.36,1322.36,881.577,861.577
Accelerating,152,76,64.8799,0.487399,60.0411,12.3844,47.6567,2.50171,2.06406,8.60589,1200.69,1082.07,1104.16,1240.63,1292.32,1322.32,881.545,861.545
Accelerating,153,76.5,65.1222,0.4846,59.8156,12.4325,47.3831,2.49232,2.07208,8.57357,1205.18,1082.03,1104.12,1240.58,1292.27,1322.27,881.515,861.515
Accelerating,154,77,65.3626,0.480689,59.4812,12.4804,47.0007,2.47838,2.08007,8.52563,1209.63,1079.96,1102,1238.2,1289.79,1319.79,879.86,859.86
Accelerating,155,77.5,65.6005,0.475736,59.0445,12.5281,46.5164,2.46019,2.08802,8.46305,1214.03,1075.93,1097.89,1233.58,1284.98,1314.98,876.654,856.654
Accelerating,156,78,65.8359,0.470881,58.6171,12.5755,46.0417,2.44238,2.09591,8.40179,1218.38,1071.98,1093.85,1229.05,1280.26,1310.26,873.505,853.505
